Timestamp,Object,Confidence,Bounding Box
2025-02-28 19:27:59,person,0.8717176,"62.4200439453125, 56.536651611328125, 636.3780517578125, 479.3540344238281"
2025-02-28 19:27:59,person,0.68132174,"0.1109771728515625, 167.0348358154297, 204.17959594726562, 478.14093017578125"
2025-02-28 19:27:59,person,0.8740538,"60.6365966796875, 57.5462646484375, 635.837890625, 479.3470458984375"
2025-02-28 19:27:59,person,0.6406581,"0.121673583984375, 167.95001220703125, 206.461181640625, 478.13140869140625"
2025-02-28 19:27:59,person,0.87369394,"63.0858154296875, 57.02229309082031, 635.6114501953125, 479.34124755859375"
2025-02-28 19:27:59,person,0.69461393,"0.1060791015625, 167.62794494628906, 204.66151428222656, 478.2613525390625"
2025-02-28 19:27:59,person,0.87369394,"63.0858154296875, 57.02229309082031, 635.6114501953125, 479.34124755859375"
2025-02-28 19:27:59,person,0.69461393,"0.1060791015625, 167.62794494628906, 204.66151428222656, 478.2613525390625"
2025-02-28 19:27:59,person,0.86593944,"67.19757080078125, 57.67108154296875, 634.8742065429688, 479.3670654296875"
2025-02-28 19:27:59,person,0.6662088,"0.1250762939453125, 168.11581420898438, 202.98451232910156, 478.2049865722656"
2025-02-28 19:28:00,person,0.86495763,"63.73406982421875, 57.70204162597656, 632.4371337890625, 479.37451171875"
2025-02-28 19:28:00,person,0.67831385,"0.10906982421875, 168.23193359375, 201.75662231445312, 478.4593505859375"
2025-02-28 19:28:00,person,0.8618259,"61.1275634765625, 58.15525817871094, 633.9931640625, 479.3319091796875"
2025-02-28 19:28:00,person,0.5958888,"0.115509033203125, 168.30072021484375, 207.23236083984375, 478.18670654296875"
2025-02-28 19:28:00,person,0.85289365,"58.2969970703125, 58.11497497558594, 635.1361083984375, 479.3214111328125"
2025-02-28 19:28:00,person,0.6043745,"0.1270904541015625, 167.78012084960938, 209.1951446533203, 478.0636901855469"
2025-02-28 19:28:00,person,0.85724324,"66.06097412109375, 56.15447998046875, 635.3876953125, 479.31011962890625"
2025-02-28 19:28:00,person,0.52617913,"0.15869140625, 168.8605499267578, 204.80792236328125, 478.37176513671875"
2025-02-28 19:28:00,person,0.85724324,"66.06097412109375, 56.15447998046875, 635.3876953125, 479.31011962890625"
2025-02-28 19:28:00,person,0.52617913,"0.15869140625, 168.8605499267578, 204.80792236328125, 478.37176513671875"
2025-02-28 19:28:00,person,0.85579556,"65.43865966796875, 55.17083740234375, 635.035888671875, 479.3065185546875"
2025-02-28 19:28:00,person,0.57755107,"0.1564483642578125, 168.29598999023438, 214.55067443847656, 478.1826477050781"
2025-02-28 19:28:00,person,0.8516929,"64.06787109375, 54.67317199707031, 636.26611328125, 479.33648681640625"
2025-02-28 19:28:00,person,0.5165693,"0.14825439453125, 167.21466064453125, 210.63153076171875, 478.46612548828125"
2025-02-28 19:28:00,person,0.85256493,"62.36663818359375, 54.22119140625, 635.2572631835938, 479.37310791015625"
2025-02-28 19:28:00,person,0.46232918,"0.16070556640625, 167.22584533691406, 211.17410278320312, 478.5970458984375"
2025-02-28 19:28:00,person,0.85975987,"62.04736328125, 56.853179931640625, 634.1802978515625, 479.4121398925781"
2025-02-28 19:28:00,person,0.85975987,"62.04736328125, 56.853179931640625, 634.1802978515625, 479.4121398925781"
